topic,descriptors,sources
46,"['show', 'love', 'movie', 'york', 'band', 'great', 'album', 'sound', 'style', 'something']",1
77,"['comment', 'content', 'community', 'violates', 'rule', 'link', 'flag', 'form', 'report', 'remove']",0
66,"['percent', 'sale', 'market', 'stock', 'company', 'share', 'price', 'analyst', 'investor', 'profit']",2
35,"['per', 'cent', 'irish', 'tax', 'voter', 'figure', 'dublin', 'poll', 'level', 'number']",0
33,"['book', 'story', 'writer', 'read', 'author', 'writing', 'reader', 'written', 'review', 'wrote']",1
79,"['court', 'judge', 'case', 'justice', 'told', 'dublin', 'charge', 'district', 'hearing', 'garda']",0
60,"['plan', 'kenny', 'budget', 'coalition', 'taoiseach', 'cabinet', 'policy', 'public', 'proposal', 'gilmore']",0
94,"['company', 'executive', 'business', 'president', 'chief', 'million', 'industry', 'plan', 'union', 'trade']",2
40,"['center', 'state', 'york', 'official', 'pay', 'system', 'plan', 'money', 'public', 'american']",2
30,"['irish', 'programme', 'bailout', 'exit', 'decision', 'european', 'credit', 'finance', 'noonan', 'euro']",0
