topic,descriptors
100,"['album', 'band', 'sound', 'rock', 'singer', 'record', 'festival', 'musician', 'release', 'released']"
23,"['dress', 'street', 'film', 'show', 'love', 'girl', 'wearing', 'shop', 'white', 'shoe']"
55,"['novel', 'writing', 'page', 'literary', 'jane', 'sister', 'smile', 'wrote', 'crime', 'kate']"
14,"['writer', 'inspired', 'singing', 'cover', 'publisher', 'published', 'wonder', 'writes', 'plane', 'famous']"
40,"['collection', 'prize', 'clothes', 'reading', 'model', 'rio', 'library', 'magazine', 'american', 'tribute']"
158,"['osborne', 'chancellor', 'george', 'britain', 'shadow', 'economic', 'ed', 'treasury', 'economy', 'spending']"
143,"['share', 'company', 'shareholder', 'mark', 'industry', 'business', 'energy', 'retailer', 'deal', 'gas']"
64,"['book', 'story', 'read', 'love', 'author', 'wear', 'character', 'find', 'word', 'english']"
106,"['french', 'funny', 'joke', 'festival', 'comedy', 'comic', 'cycle', 'max', 'seal', 'cheer']"
42,"['artist', 'designer', 'design', 'japan', 'show', 'cool', 'spring', 'art', 'simon', 'feature']"
